image_name,provenance_file,provenance_sha256,provenance_size_bytes
44_5.jpg,44_5.provenance.json,b109f775b07e995a9fe5b954bbae6219beaeb99895340d5c7e7ed1cc6255b9e3,276
44_6.jpg,44_6.provenance.json,be91a18be8a79cefd93dda4ae758124bcb0f1ec49309beeaaf15a1115500884f,276
45_0.jpg,45_0.provenance.json,33c150542632fbaf770c1bbfb32ec27ccdd37dd5b38f7fb21928a711cb552469,276
46_0.jpg,46_0.provenance.json,a353ebb5057333537adeefaa84c261caba8f4bcdec9fa0f3911586a377248b55,276
46_1.jpg,46_1.provenance.json,bf8aef0c40749eb97f1a20cf05099be16ce183fff9e56a0282959c2b21e4007b,276
47_0.jpg,47_0.provenance.json,bbcd65504e9b5ce4bed42d1591eef566714817a388b995e49547c2256487e6eb,276
47_1.jpg,47_1.provenance.json,ef5696fc5adf00591eb630173cfd28f7ce0bec8f7c6b772c903af20cc40796c1,276
47_2.jpg,47_2.provenance.json,8f7552e9f6849dd0bf20f41970d164f9aa0796d4ef1de35e23a7fc3545caf93a,276
47_3.jpg,47_3.provenance.json,dbc9919db171edf5c0b9d88b509be314e9eda001104546f45006b77298b16e45,276
47_4.jpg,47_4.provenance.json,eabd3e49b50c9641dda56d1b12628895c33b0635458804b233dc23ef5fb7eb15,276
47_5.jpg,47_5.provenance.json,7c2c43d8e171e65051169c05ecef7f8d046c4868437f41752f1d6c37fa146b58,276
47_6.jpg,47_6.provenance.json,1f15168c2f47f112ac8221394ae2c4612f7e5b5fe7a9494679ff9b266d73c6b3,276
47_7.jpg,47_7.provenance.json,d57c6b79aea914770449ffa0f4348d87fe3d4016beb83424ea097302285101c2,276
48_0.jpg,48_0.provenance.json,f746b98ff57b5e1d9237fd95361cc4d00fba6d0fbc2941b839f186247a628c65,276
49_0.jpg,49_0.provenance.json,d14c97d5f0ec58cf5960ec03609a36447e4b7e743c94614b67c4bf69307776d6,276
49_1.jpg,49_1.provenance.json,d7fa740e20861eca7a18e15c6c9b6c0d8e347515decd2cca1e0fc12a4520b107,276
50_0.jpg,50_0.provenance.json,239aa98fa94fd79edf082005278493c233014a760b2aab76dcd75bd7c7c15a97,276
50_1.jpg,50_1.provenance.json,326cd736c95ba38b12c2c886e0c679c5da1f884ea3a19a28bcd829e563ca6eb0,276
50_2.jpg,50_2.provenance.json,572b7a0b80061e044990ef8c0a5a956418e583cf4361516046ab127deb0cbeaf,276
51_0.jpg,51_0.provenance.json,a9e8de7ad94955962f803a700401e3f0f03d3af7e5b552ec1e81b9b74d7b66cb,276
52_0.jpg,52_0.provenance.json,92c9c7b4304bdaf2796b801a47999c3ad991b0e2dd1b0eedb9431628c4ee3100,276
52_1.jpg,52_1.provenance.json,8870d0b53919789b35dd5101290fdc2e289ed022af972c7629eca6b3859bbc7a,276
53_0.jpg,53_0.provenance.json,63d296b04c1ab53c2aabba5277e0d0c10926e7a84b6bbbbed475ac5a911a289b,276
53_1.jpg,53_1.provenance.json,138dce3b4e3a2cd0a0d0cd381a97bef58d1cc3e8dfb5fab4914180b3b764994d,276
53_2.jpg,53_2.provenance.json,ab9a5828bfcc52722e649fdebb5bd9a712c142bc6924bebcb2087b407fce826f,276
53_3.jpg,53_3.provenance.json,e56fe61b901436890f3c65ce145c61f287e154566168676e6cbf0fe59faf58bc,276
53_4.jpg,53_4.provenance.json,aed73eb1615cc3c9691c233b18a67e8a96631ce7f77574fc8c3e70809cd4dca4,276
54_0.jpg,54_0.provenance.json,ff7b9bde65c8931d7e455002bb7b4c3809c61290e8a99082f6457398a7e7c1ce,276
54_1.jpg,54_1.provenance.json,37245cd198dc498cdc4024925f27fcc80ef7a9397a458bcecb75f5a766ccd62a,276
54_2.jpg,54_2.provenance.json,688408249f2f9da7195a23ef8b1642ccad12aabd5445d86789963e21ff3cd118,276
54_3.jpg,54_3.provenance.json,a50cba50582a38231de24d555e0f680094a3e346aa66bce5532cd24a2e256039,276
55_0.jpg,55_0.provenance.json,06232b6182bad2401c18fa776fe8d96c05106e1eca644e50e67128ef03f3903d,276
55_1.jpg,55_1.provenance.json,9cbabe045232a5ffd6624b145767e7ad262b28a083c0975001afde3ffc9dd98d,276
55_2.jpg,55_2.provenance.json,46ed02c4a2ca199b4acc6de7392bf92fd4422797eb04137a5fc9f003d466ef8d,276
